Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,type
1686748102.5955243,0,1686748102,595524201,,rest
1686748105.5955243,1,1686748105,595524270,,load
1686748114.5955243,2,1686748114,595524348,,unload
1686748117.5955243,3,1686748117,595524427,,rest
1686748120.5955245,4,1686748120,595524446,,load
1686748129.5955245,5,1686748129,595524571,,unload
1686748132.5955245,6,1686748132,595524650,,rest
1686748135.5955248,7,1686748135,595524768,,load
1686748144.5955248,8,1686748144,595524829,,unload
1686748147.5955248,9,1686748147,595524857,,rest
1686748150.595525,10,1686748150,595524955,,load
1686748159.595525,11,1686748159,595525067,,unload
1686748162.5955253,12,1686748162,595525184,,rest
1686748165.5955253,13,1686748165,595525231,,load
1686748174.5955253,14,1686748174,595525241,,unload
1686748177.5955253,15,1686748177,595525257,,rest
1686748180.5955253,16,1686748180,595525284,,load
1686748189.5955255,17,1686748189,595525412,,unload
1686748192.5955255,18,1686748192,595525458,,rest
1686748195.5955255,19,1686748195,595525524,,load
1686748204.5955255,20,1686748204,595525600,,unload
1686748207.5955257,21,1686748207,595525646,,rest
1686748210.5955257,22,1686748210,595525721,,load
1686748219.5955257,23,1686748219,595525736,,unload
1686748222.5955257,24,1686748222,595525821,,rest
1686748225.595526,25,1686748225,595525916,,load
1686748234.595526,26,1686748234,595525979,,unload
1686748237.595526,27,1686748237,595525983,,rest
1686748240.595526,28,1686748240,595526007,,load
1686748249.595526,29,1686748249,595526079,,unload
