Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,object,mass
1686746884.1670976,0,1686746884,167097585,,bottle,0.5
1686746893.2463694,1,1686746893,246369292,,NONE,0.0
1686746893.6615403,2,1686746893,661540237,,bottle,0.5
1686746893.781748,3,1686746893,781748021,,NONE,0.0
1686746898.8812134,4,1686746898,881213429,,bottle,0.5
1686746906.9313464,5,1686746906,931346446,,NONE,0.0
1686746907.0112298,6,1686746907,11229736,,bottle,0.5
1686746907.1816068,7,1686746907,181606754,,NONE,0.0
1686746907.31637,8,1686746907,316369921,,bottle,0.5
1686746907.547023,9,1686746907,547023143,,NONE,0.0
1686746907.796239,10,1686746907,796238892,,bottle,0.5
1686746907.811642,11,1686746907,811641989,,NONE,0.0
1686746907.8613942,12,1686746907,861394250,,bottle,0.5
1686746907.9112718,13,1686746907,911271700,,NONE,0.0
1686746908.1463873,14,1686746908,146387402,,bottle,0.5
1686746908.346452,15,1686746908,346452044,,NONE,0.0
1686746908.5814366,16,1686746908,581436668,,bottle,0.5
1686746908.5961487,17,1686746908,596148789,,NONE,0.0
1686746914.1612954,18,1686746914,161295433,,bottle,0.5
1686746923.996678,19,1686746923,996678169,,NONE,0.0
1686746929.111323,20,1686746929,111323125,,bottle,0.5
1686746938.4614527,21,1686746938,461452696,,NONE,0.0
1686746943.9654663,22,1686746943,965466350,,bottle,0.5
1686746948.3313046,23,1686746948,331304619,,NONE,0.0
1686746953.561428,24,1686746953,561428011,,bottle,0.5
1686746953.581334,25,1686746953,581334125,,NONE,0.0
1686746959.166382,26,1686746959,166382186,,bottle,0.5
1686746968.7117605,27,1686746968,711760506,,NONE,0.0
1686746973.9812436,28,1686746973,981243720,,bottle,0.5
1686746983.6463559,29,1686746983,646355769,,NONE,0.0
1686746983.7814355,30,1686746983,781435577,,bottle,0.5
1686746983.7965686,31,1686746983,796568529,,NONE,0.0
1686746989.0975375,32,1686746989,97537598,,bottle,0.5
1686746998.4826386,33,1686746998,482638659,,NONE,0.0
1686746998.5277662,34,1686746998,527766120,,bottle,0.5
1686746998.548046,35,1686746998,548046095,,NONE,0.0
1686747004.182622,36,1686747004,182621966,,bottle,0.5
1686747010.61266,37,1686747010,612659956,,NONE,0.0
1686747013.8475451,38,1686747013,847545118,,bottle,0.5
1686747014.1777117,39,1686747014,177711613,,NONE,0.0
1686747019.4176855,40,1686747019,417685490,,bottle,0.5
1686747028.3642976,41,1686747028,364297562,,NONE,0.0
