Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,type
1686746879.7961123,0,1686746879,796112239,,rest
1686746882.7961123,1,1686746882,796112317,,load
1686746891.7961123,2,1686746891,796112350,,unload
1686746894.7961123,3,1686746894,796112412,,rest
1686746897.7961125,4,1686746897,796112532,,load
1686746906.7961125,5,1686746906,796112554,,unload
1686746909.7961125,6,1686746909,796112628,,rest
1686746912.7961128,7,1686746912,796112691,,load
1686746921.7961128,8,1686746921,796112783,,unload
1686746924.7961128,9,1686746924,796112860,,rest
1686746927.7961128,10,1686746927,796112887,,load
1686746936.796113,11,1686746936,796112957,,unload
1686746939.796113,12,1686746939,796112968,,rest
1686746942.796113,13,1686746942,796113028,,load
1686746951.796113,14,1686746951,796113028,,unload
1686746954.796113,15,1686746954,796113123,,rest
1686746957.7961133,16,1686746957,796113177,,load
1686746966.7961133,17,1686746966,796113200,,unload
1686746969.7961133,18,1686746969,796113208,,rest
1686746972.7961133,19,1686746972,796113295,,load
1686746981.7961135,20,1686746981,796113448,,unload
1686746984.7961135,21,1686746984,796113540,,rest
1686746987.7961137,22,1686746987,796113632,,load
1686746996.7961137,23,1686746996,796113656,,unload
1686746999.7961137,24,1686746999,796113713,,rest
1686747002.7961137,25,1686747002,796113818,,load
1686747011.796114,26,1686747011,796113906,,unload
1686747014.796114,27,1686747014,796113906,,rest
1686747017.796114,28,1686747017,796113925,,load
1686747026.796114,29,1686747026,796114036,,unload
