Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,value.data
33.439480391000004,6486,33,439480391,,30.0
33.440771578,6487,33,440771578,,30.0
33.445769566,6488,33,445769566,,30.0
33.450769047,6489,33,450769047,,30.0
33.455772667,6490,33,455772667,,30.0
33.460771447,6491,33,460771447,,30.0
33.465773282,6492,33,465773282,,30.0
33.470776791,6493,33,470776791,,30.0
33.475777214,6494,33,475777214,,30.0
33.480770724,6495,33,480770724,,30.0
33.485733876,6496,33,485733876,,30.0
33.490774075,6497,33,490774075,,30.0
33.4957704,6498,33,495770400,,30.0
33.500771264,6499,33,500771264,,30.0
33.505771717,6500,33,505771717,,30.0
33.510774585,6501,33,510774585,,30.0
33.515774125,6502,33,515774125,,30.0
33.520770992,6503,33,520770992,,30.0
33.52576876,6504,33,525768760,,30.0
33.530770936,6505,33,530770936,,30.0
33.535770408,6506,33,535770408,,30.0
33.540773867,6507,33,540773867,,30.0
33.545770292,6508,33,545770292,,30.0
33.550770575,6509,33,550770575,,30.0
33.555770496,6510,33,555770496,,30.0
33.560775178,6511,33,560775178,,30.0
33.565773166,6512,33,565773166,,30.0
33.57077428,6513,33,570774280,,30.0
33.575769103,6514,33,575769103,,30.0
33.580769326,6515,33,580769326,,30.0
33.585774317,6516,33,585774317,,30.0
33.5907693,6517,33,590769300,,30.0
33.595770855,6518,33,595770855,,30.0
33.600774514,6519,33,600774514,,30.0
33.605779025,6520,33,605779025,,30.0
33.610770811,6521,33,610770811,,30.0
33.615770583,6522,33,615770583,,30.0
33.620777148,6523,33,620777148,,30.0
33.625772251,6524,33,625772251,,30.0
33.63077057,6525,33,630770570,,30.0
33.635771073,6526,33,635771073,,30.0
33.6407738,6527,33,640773800,,30.0
33.645771228,6528,33,645771228,,30.0
33.650772222,6529,33,650772222,,30.0
33.655771553,6530,33,655771553,,30.0
33.660769181,6531,33,660769181,,30.0
33.665779452,6532,33,665779452,,30.0
33.670772972,6533,33,670772972,,30.0
33.675776471,6534,33,675776471,,30.0
33.680769961,6535,33,680769961,,30.0
33.685773079,6536,33,685773079,,30.0
33.690775416,6537,33,690775416,,30.0
33.695770368,6538,33,695770368,,30.0
33.700772154,6539,33,700772154,,30.0
33.705770052,6540,33,705770052,,30.0
33.710742722,6541,33,710742722,,30.0
33.715770939,6542,33,715770939,,30.0
33.720773675,6543,33,720773675,,30.0
33.725776043,6544,33,725776043,,30.0
33.73077912,6545,33,730779120,,30.0
33.735772881,6546,33,735772881,,30.0
33.740775478,6547,33,740775478,,30.0
33.745771833,6548,33,745771833,,30.0
33.750773338,6549,33,750773338,,30.0
33.755772479,6550,33,755772479,,30.0
33.760772601,6551,33,760772601,,30.0
33.765774317,6552,33,765774317,,30.0
33.770775962,6553,33,770775962,,30.0
33.775770384,6554,33,775770384,,30.0
33.780773352,6555,33,780773352,,30.0
33.785771771,6556,33,785771771,,30.0
33.790771533,6557,33,790771533,,30.0
33.795769642,6558,33,795769642,,30.0
33.800768341,6559,33,800768341,,30.0
33.80577178,6560,33,805771780,,30.0
33.81077082,6561,33,810770820,,30.0
33.815769049,6562,33,815769049,,30.0
33.820771636,6563,33,820771636,,30.0
33.825777099,6564,33,825777099,,30.0
33.830772011,6565,33,830772011,,30.0
33.835770892,6566,33,835770892,,30.0
33.840775903,6567,33,840775903,,30.0
33.845768181,6568,33,845768181,,30.0
33.850775176,6569,33,850775176,,30.0
33.855774156,6570,33,855774156,,30.0
33.860783436,6571,33,860783436,,30.0
33.865767749,6572,33,865767749,,30.0
33.870766609,6573,33,870766609,,30.0
33.875774125,6574,33,875774125,,30.0
33.880769308,6575,33,880769308,,30.0
33.885770362,6576,33,885770362,,30.0
33.890771287,6577,33,890771287,,30.0
33.8957719,6578,33,895771900,,30.0
33.90077088,6579,33,900770880,,30.0
33.905784769,6580,33,905784769,,30.0
33.910776064,6581,33,910776064,,30.0
33.91577242,6582,33,915772420,,30.0
33.920768835,6583,33,920768835,,30.0
33.925769268,6584,33,925769268,,30.0
33.930770363,6585,33,930770363,,30.0
33.935771276,6586,33,935771276,,30.0
33.940774986,6587,33,940774986,,30.0
33.94577108,6588,33,945771080,,30.0
33.950770531,6589,33,950770531,,30.0
33.95577373,6590,33,955773730,,30.0
33.960774513,6591,33,960774513,,30.0
33.965787981,6592,33,965787981,,30.0
33.970774128,6593,33,970774128,,30.0
