Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,value.data
89.339129168,17666,89,339129168,,30.0
89.344183878,17667,89,344183878,,30.0
89.349183462,17668,89,349183462,,30.0
89.354185522,17669,89,354185522,,30.0
89.359184226,17670,89,359184226,,30.0
89.364183149,17671,89,364183149,,30.0
89.369188545,17672,89,369188545,,30.0
89.374186036,17673,89,374186036,,30.0
89.379184028,17674,89,379184028,,30.0
89.384183272,17675,89,384183272,,30.0
89.389186383,17676,89,389186383,,30.0
89.394184716,17677,89,394184716,,30.0
89.399183469,17678,89,399183469,,30.0
89.404183565,17679,89,404183565,,30.0
89.409184662,17680,89,409184662,,30.0
89.414184738,17681,89,414184738,,30.0
89.41918274,17682,89,419182740,,30.0
89.424187014,17683,89,424187014,,30.0
89.429186959,17684,89,429186959,,30.0
89.434184099,17685,89,434184099,,30.0
89.439184656,17686,89,439184656,,30.0
89.444184481,17687,89,444184481,,30.0
89.449183234,17688,89,449183234,,30.0
89.45418338,17689,89,454183380,,30.0
89.459183686,17690,89,459183686,,30.0
89.464183511,17691,89,464183511,,30.0
89.469183056,17692,89,469183056,,30.0
89.474184995,17693,89,474184995,,30.0
89.479183669,17694,89,479183669,,30.0
89.484183163,17695,89,484183163,,30.0
89.489188189,17696,89,489188189,,30.0
89.494185459,17697,89,494185459,,30.0
89.499183511,17698,89,499183511,,30.0
89.504183717,17699,89,504183717,,30.0
89.509184795,17700,89,509184795,,30.0
89.51418503,17701,89,514185030,,30.0
89.519182862,17702,89,519182862,,30.0
89.524182988,17703,89,524182988,,30.0
89.529184316,17704,89,529184316,,30.0
89.534184432,17705,89,534184432,,30.0
89.539187413,17706,89,539187413,,30.0
89.544185104,17707,89,544185104,,30.0
89.549183787,17708,89,549183787,,30.0
89.554184304,17709,89,554184304,,30.0
89.559185562,17710,89,559185562,,30.0
89.564184385,17711,89,564184385,,30.0
89.569183649,17712,89,569183649,,30.0
89.574187552,17713,89,574187552,,30.0
89.579185524,17714,89,579185524,,30.0
