Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,value.data
386.15770256,77029,386,157702560,,30.0
386.162761754,77030,386,162761754,,30.0
386.167760234,77031,386,167760234,,30.0
386.17275711,77032,386,172757110,,30.0
386.177758625,77033,386,177758625,,30.0
386.182757535,77034,386,182757535,,30.0
386.187758499,77035,386,187758499,,30.0
386.192757379,77036,386,192757379,,30.0
386.197759205,77037,386,197759205,,30.0
386.202759237,77038,386,202759237,,30.0
386.207757055,77039,386,207757055,,30.0
386.212760073,77040,386,212760073,,30.0
386.217758983,77041,386,217758983,,30.0
386.222757302,77042,386,222757302,,30.0
386.227758296,77043,386,227758296,,30.0
386.232757006,77044,386,232757006,,30.0
386.237758531,77045,386,237758531,,30.0
386.24275693,77046,386,242756930,,30.0
386.247757573,77047,386,247757573,,30.0
386.25275974,77048,386,252759740,,30.0
386.257761285,77049,386,257761285,,30.0
386.2627679,77050,386,262767900,,30.0
386.267759726,77051,386,267759726,,30.0
386.272753958,77052,386,272753958,,30.0
386.277758228,77053,386,277758228,,30.0
386.282756457,77054,386,282756457,,30.0
386.287757421,77055,386,287757421,,30.0
386.292756281,77056,386,292756281,,30.0
386.297774087,77057,386,297774087,,30.0
386.302766224,77058,386,302766224,,30.0
386.30775787,77059,386,307757870,,30.0
386.312754175,77060,386,312754175,,30.0
386.317754007,77061,386,317754007,,30.0
386.322755893,77062,386,322755893,,30.0
386.327757408,77063,386,327757408,,30.0
386.332756659,77064,386,332756659,,30.0
386.337758595,77065,386,337758595,,30.0
386.342760922,77066,386,342760922,,30.0
386.347771002,77067,386,347771002,,30.0
386.352761407,77068,386,352761407,,30.0
386.357766288,77069,386,357766288,,30.0
386.362757764,77070,386,362757764,,30.0
386.367753648,77071,386,367753648,,30.0
386.372758911,77072,386,372758911,,30.0
386.377774462,77073,386,377774462,,30.0
386.382757322,77074,386,382757322,,30.0
386.38775514,77075,386,387755140,,30.0
386.392757567,77076,386,392757567,,30.0
386.397762018,77077,386,397762018,,30.0
386.402758673,77078,386,402758673,,30.0
386.407768804,77079,386,407768804,,30.0
386.412757506,77080,386,412757506,,30.0
386.417754402,77081,386,417754402,,30.0
386.422754825,77082,386,422754825,,30.0
386.427756059,77083,386,427756059,,30.0
386.432756793,77084,386,432756793,,30.0
386.437761514,77085,386,437761514,,30.0
386.442761065,77086,386,442761065,,30.0
386.447764865,77087,386,447764865,,30.0
386.452754097,77088,386,452754097,,30.0
386.457754049,77089,386,457754049,,30.0
386.462756676,77090,386,462756676,,30.0
386.467758812,77091,386,467758812,,30.0
386.472759906,77092,386,472759906,,30.0
386.477762624,77093,386,477762624,,30.0
386.482758227,77094,386,482758227,,30.0
386.4877635,77095,386,487763500,,30.0
386.492757771,77096,386,492757771,,30.0
386.497762181,77097,386,497762181,,30.0
386.502757024,77098,386,502757024,,30.0
386.507760132,77099,386,507760132,,30.0
386.512758381,77100,386,512758381,,30.0
386.51776725,77101,386,517767250,,30.0
386.522761892,77102,386,522761892,,30.0
386.527765682,77103,386,527765682,,30.0
386.532754843,77104,386,532754843,,30.0
386.537753653,77105,386,537753653,,30.0
386.54275617,77106,386,542756170,,30.0
386.547756733,77107,386,547756733,,30.0
386.552755693,77108,386,552755693,,30.0
386.557756277,77109,386,557756277,,30.0
386.562757842,77110,386,562757842,,30.0
386.567764286,77111,386,567764286,,30.0
386.572760611,77112,386,572760611,,30.0
386.57776388,77113,386,577763880,,30.0
386.582757179,77114,386,582757179,,30.0
386.587755178,77115,386,587755178,,30.0
386.592756181,77116,386,592756181,,30.0
386.597757156,77117,386,597757156,,30.0
386.602755735,77118,386,602755735,,30.0
386.607766458,77119,386,607766458,,30.0
386.61275602,77120,386,612756020,,30.0
386.617756273,77121,386,617756273,,30.0
386.622756094,77122,386,622756094,,30.0
386.627763411,77123,386,627763411,,30.0
386.632757482,77124,386,632757482,,30.0
386.6377556,77125,386,637755600,,30.0
386.642755372,77126,386,642755372,,30.0
386.647765794,77127,386,647765794,,30.0
386.652757611,77128,386,652757611,,30.0
386.657756421,77129,386,657756421,,30.0
386.662758436,77130,386,662758436,,30.0
386.667756676,77131,386,667756676,,30.0
386.672757229,77132,386,672757229,,30.0
386.677760497,77133,386,677760497,,30.0
386.682758134,77134,386,682758134,,30.0
386.687761684,77135,386,687761684,,30.0
386.692755825,77136,386,692755825,,30.0
386.697755797,77137,386,697755797,,30.0
386.702755489,77138,386,702755489,,30.0
386.7077552,77139,386,707755200,,30.0
386.712756335,77140,386,712756335,,30.0
386.717757218,77141,386,717757218,,30.0
386.722755858,77142,386,722755858,,30.0
386.727758455,77143,386,727758455,,30.0
386.732757085,77144,386,732757085,,30.0
386.737757728,77145,386,737757728,,30.0
386.74275722,77146,386,742757220,,30.0
386.747759806,77147,386,747759806,,30.0
386.752759308,77148,386,752759308,,30.0
386.757757085,77149,386,757757085,,30.0
386.762766957,77150,386,762766957,,30.0
386.767765646,77151,386,767765646,,30.0
386.772760789,77152,386,772760789,,30.0
386.77776018,77153,386,777760180,,30.0
386.782756365,77154,386,782756365,,30.0
386.787761757,77155,386,787761757,,30.0
386.792757301,77156,386,792757301,,30.0
386.797757113,77157,386,797757113,,30.0
386.802757857,77158,386,802757857,,30.0
386.80776362,77159,386,807763620,,30.0
386.812759404,77160,386,812759404,,30.0
386.81775624,77161,386,817756240,,30.0
386.822762284,77162,386,822762284,,30.0
386.827755623,77163,386,827755623,,30.0
386.832755405,77164,386,832755405,,30.0
386.83775698,77165,386,837756980,,30.0
386.842757153,77166,386,842757153,,30.0
386.847759169,77167,386,847759169,,30.0
386.852756005,77168,386,852756005,,30.0
386.857756929,77169,386,857756929,,30.0
386.862759166,77170,386,862759166,,30.0
386.867756462,77171,386,867756462,,30.0
386.872758398,77172,386,872758398,,30.0
386.87776376,77173,386,877763760,,30.0
386.882758112,77174,386,882758112,,30.0
386.887763204,77175,386,887763204,,30.0
386.892757124,77176,386,892757124,,30.0
386.897755794,77177,386,897755794,,30.0
386.902756588,77178,386,902756588,,30.0
386.907757572,77179,386,907757572,,30.0
386.912755921,77180,386,912755921,,30.0
386.917756003,77181,386,917756003,,30.0
386.922756917,77182,386,922756917,,30.0
386.927764484,77183,386,927764484,,30.0
386.932756942,77184,386,932756942,,30.0
386.937755862,77185,386,937755862,,30.0
386.942757938,77186,386,942757938,,30.0
386.947756888,77187,386,947756888,,30.0
386.95275661,77188,386,952756610,,30.0
386.957756752,77189,386,957756752,,30.0
386.962757355,77190,386,962757355,,30.0
386.9677641,77191,386,967764100,,30.0
386.972759043,77192,386,972759043,,30.0
386.977761981,77193,386,977761981,,30.0
386.982757173,77194,386,982757173,,30.0
386.987757086,77195,386,987757086,,30.0
386.992756467,77196,386,992756467,,30.0
386.99775734,77197,386,997757340,,30.0
387.002759847,77198,387,2759847,,30.0
387.007763236,77199,387,7763236,,30.0
387.012762607,77200,387,12762607,,30.0
387.017769612,77201,387,17769612,,30.0
387.022755307,77202,387,22755307,,30.0
387.027758576,77203,387,27758576,,30.0
387.032756544,77204,387,32756544,,30.0
387.037757468,77205,387,37757468,,30.0
387.042767108,77206,387,42767108,,30.0
387.047761791,77207,387,47761791,,30.0
387.052765851,77208,387,52765851,,30.0
387.057763618,77209,387,57763618,,30.0
387.062767037,77210,387,62767037,,30.0
387.067758263,77211,387,67758263,,30.0
387.07275545,77212,387,72755450,,30.0
387.077764569,77213,387,77764569,,30.0
387.082756305,77214,387,82756305,,30.0
387.087756268,77215,387,87756268,,30.0
387.092755949,77216,387,92755949,,30.0
387.097759198,77217,387,97759198,,30.0
387.102766483,77218,387,102766483,,30.0
387.107761907,77219,387,107761907,,30.0
387.11276245,77220,387,112762450,,30.0
387.117768243,77221,387,117768243,,30.0
387.122756212,77222,387,122756212,,30.0
387.127757838,77223,387,127757838,,30.0
387.132756357,77224,387,132756357,,30.0
387.137757702,77225,387,137757702,,30.0
387.142759728,77226,387,142759728,,30.0
387.147758648,77227,387,147758648,,30.0
387.152761345,77228,387,152761345,,30.0
387.157757851,77229,387,157757851,,30.0
387.162758003,77230,387,162758003,,30.0
387.167767674,77231,387,167767674,,30.0
387.172756585,77232,387,172756585,,30.0
387.177757098,77233,387,177757098,,30.0
387.182757,77234,387,182757000,,30.0
387.187759136,77235,387,187759136,,30.0
387.192763206,77236,387,192763206,,30.0
387.197759131,77237,387,197759131,,30.0
387.202758512,77238,387,202758512,,30.0
387.207757793,77239,387,207757793,,30.0
387.212759878,77240,387,212759878,,30.0
387.217759771,77241,387,217759771,,30.0
387.222759542,77242,387,222759542,,30.0
387.227757551,77243,387,227757551,,30.0
387.232758244,77244,387,232758244,,30.0
387.237761393,77245,387,237761393,,30.0
387.242762006,77246,387,242762006,,30.0
387.247762409,77247,387,247762409,,30.0
387.252759355,77248,387,252759355,,30.0
387.257758837,77249,387,257758837,,30.0
387.262761453,77250,387,262761453,,30.0
387.267758791,77251,387,267758791,,30.0
387.272762039,77252,387,272762039,,30.0
387.277765418,77253,387,277765418,,30.0
387.282758326,77254,387,282758326,,30.0
387.28775887,77255,387,287758870,,30.0
387.292759563,77256,387,292759563,,30.0
387.297765546,77257,387,297765546,,30.0
387.302756351,77258,387,302756351,,30.0
387.307760151,77259,387,307760151,,30.0
387.312760874,77260,387,312760874,,30.0
387.317759854,77261,387,317759854,,30.0
387.322759896,77262,387,322759896,,30.0
387.327758246,77263,387,327758246,,30.0
387.332758438,77264,387,332758438,,30.0
387.337760574,77265,387,337760574,,30.0
387.342764804,77266,387,342764804,,30.0
387.347760759,77267,387,347760759,,30.0
387.352760541,77268,387,352760541,,30.0
387.35775897,77269,387,357758970,,30.0
387.362757018,77270,387,362757018,,30.0
387.367759806,77271,387,367759806,,30.0
387.372759467,77272,387,372759467,,30.0
387.377760501,77273,387,377760501,,30.0
387.382770803,77274,387,382770803,,30.0
387.387767279,77275,387,387767279,,30.0
387.392769786,77276,387,392769786,,30.0
387.39776048,77277,387,397760480,,30.0
387.402767676,77278,387,402767676,,30.0
387.407758441,77279,387,407758441,,30.0
387.412760567,77280,387,412760567,,30.0
387.417759938,77281,387,417759938,,30.0
387.422758107,77282,387,422758107,,30.0
387.427761656,77283,387,427761656,,30.0
387.432758221,77284,387,432758221,,30.0
387.437763814,77285,387,437763814,,30.0
387.442757895,77286,387,442757895,,30.0
387.447758619,77287,387,447758619,,30.0
387.452756777,77288,387,452756777,,30.0
387.457758142,77289,387,457758142,,30.0
387.462757082,77290,387,462757082,,30.0
387.467761983,77291,387,467761983,,30.0
387.472760683,77292,387,472760683,,30.0
387.47775817,77293,387,477758170,,30.0
387.482755959,77294,387,482755959,,30.0
387.487762072,77295,387,487762072,,30.0
387.492757646,77296,387,492757646,,30.0
387.497759001,77297,387,497759001,,30.0
387.502757871,77298,387,502757871,,30.0
387.507766168,77299,387,507766168,,30.0
387.51276039,77300,387,512760390,,30.0
387.517759881,77301,387,517759881,,30.0
387.52275788,77302,387,522757880,,30.0
387.527759665,77303,387,527759665,,30.0
387.532764016,77304,387,532764016,,30.0
387.537759369,77305,387,537759369,,30.0
387.542760113,77306,387,542760113,,30.0
387.547759834,77307,387,547759834,,30.0
387.552759796,77308,387,552759796,,30.0
387.557759007,77309,387,557759007,,30.0
387.56275924,77310,387,562759240,,30.0
387.567757668,77311,387,567757668,,30.0
387.57270947,77312,387,572709470,,30.0
387.577759286,77313,387,577759286,,30.0
387.582757545,77314,387,582757545,,30.0
387.587759691,77315,387,587759691,,30.0
387.592758531,77316,387,592758531,,30.0
387.597761539,77317,387,597761539,,30.0
387.602758315,77318,387,602758315,,30.0
387.6077597,77319,387,607759700,,30.0
387.612758179,77320,387,612758179,,30.0
387.617762399,77321,387,617762399,,30.0
387.622759005,77322,387,622759005,,30.0
387.62776075,77323,387,627760750,,30.0
387.632760001,77324,387,632760001,,30.0
387.63775803,77325,387,637758030,,30.0
387.64275691,77326,387,642756910,,30.0
387.647757934,77327,387,647757934,,30.0
387.652756533,77328,387,652756533,,30.0
387.657758519,77329,387,657758519,,30.0
387.662757941,77330,387,662757941,,30.0
387.667756951,77331,387,667756951,,30.0
387.672759408,77332,387,672759408,,30.0
387.677760762,77333,387,677760762,,30.0
387.682759983,77334,387,682759983,,30.0
387.687757721,77335,387,687757721,,30.0
387.692759587,77336,387,692759587,,30.0
387.697759188,77337,387,697759188,,30.0
387.702757638,77338,387,702757638,,30.0
387.707763541,77339,387,707763541,,30.0
387.712757832,77340,387,712757832,,30.0
387.717760209,77341,387,717760209,,30.0
387.722758939,77342,387,722758939,,30.0
387.727759882,77343,387,727759882,,30.0
387.732762349,77344,387,732762349,,30.0
387.737761229,77345,387,737761229,,30.0
387.742759949,77346,387,742759949,,30.0
387.747760773,77347,387,747760773,,30.0
387.752759713,77348,387,752759713,,30.0
387.75776208,77349,387,757762080,,30.0
387.762759477,77350,387,762759477,,30.0
387.767759429,77351,387,767759429,,30.0
387.772759471,77352,387,772759471,,30.0
387.777760806,77353,387,777760806,,30.0
387.782758554,77354,387,782758554,,30.0
387.787758145,77355,387,787758145,,30.0
387.792757386,77356,387,792757386,,30.0
387.797759302,77357,387,797759302,,30.0
387.802756188,77358,387,802756188,,30.0
387.807758314,77359,387,807758314,,30.0
387.812757124,77360,387,812757124,,30.0
387.81775916,77361,387,817759160,,30.0
387.822757298,77362,387,822757298,,30.0
387.827759325,77363,387,827759325,,30.0
387.832757784,77364,387,832757784,,30.0
387.837758457,77365,387,837758457,,30.0
387.842756466,77366,387,842756466,,30.0
387.84775759,77367,387,847757590,,30.0
387.852757392,77368,387,852757392,,30.0
387.857759648,77369,387,857759648,,30.0
387.862756655,77370,387,862756655,,30.0
387.867758,77371,387,867758000,,30.0
387.87275703,77372,387,872757030,,30.0
387.877759607,77373,387,877759607,,30.0
387.882756212,77374,387,882756212,,30.0
387.887758239,77375,387,887758239,,30.0
387.892757299,77376,387,892757299,,30.0
387.897758183,77377,387,897758183,,30.0
387.902756632,77378,387,902756632,,30.0
387.907758067,77379,387,907758067,,30.0
387.912757247,77380,387,912757247,,30.0
387.917759414,77381,387,917759414,,30.0
387.922763744,77382,387,922763744,,30.0
387.927758275,77383,387,927758275,,30.0
387.93275925,77384,387,932759250,,30.0
387.937758991,77385,387,937758991,,30.0
387.942758142,77386,387,942758142,,30.0
387.947759066,77387,387,947759066,,30.0
387.952757626,77388,387,952757626,,30.0
387.957765593,77389,387,957765593,,30.0
387.962759293,77390,387,962759293,,30.0
387.96775693,77391,387,967756930,,30.0
387.972757363,77392,387,972757363,,30.0
387.977762676,77393,387,977762676,,30.0
387.982759091,77394,387,982759091,,30.0
387.987759113,77395,387,987759113,,30.0
387.992756791,77396,387,992756791,,30.0
387.997758306,77397,387,997758306,,30.0
388.002757587,77398,388,2757587,,30.0
388.007759172,77399,388,7759172,,30.0
388.012756279,77400,388,12756279,,30.0
388.017759627,77401,388,17759627,,30.0
388.022757014,77402,388,22757014,,30.0
388.027763339,77403,388,27763339,,30.0
388.032756829,77404,388,32756829,,30.0
388.037758564,77405,388,37758564,,30.0
388.042756742,77406,388,42756742,,30.0
388.047758187,77407,388,47758187,,30.0
388.052762838,77408,388,52762838,,30.0
388.057759124,77409,388,57759124,,30.0
388.06275625,77410,388,62756250,,30.0
388.067759579,77411,388,67759579,,30.0
388.07275915,77412,388,72759150,,30.0
388.077759112,77413,388,77759112,,30.0
388.08275685,77414,388,82756850,,30.0
388.087758055,77415,388,87758055,,30.0
388.092757004,77416,388,92757004,,30.0
388.097765443,77417,388,97765443,,30.0
388.10275764,77418,388,102757640,,30.0
388.107758274,77419,388,107758274,,30.0
388.112757614,77420,388,112757614,,30.0
388.117757055,77421,388,117757055,,30.0
388.12275827,77422,388,122758270,,30.0
388.127759375,77423,388,127759375,,30.0
388.132774595,77424,388,132774595,,30.0
388.137757886,77425,388,137757886,,30.0
388.142758639,77426,388,142758639,,30.0
